Movies,Director,Actors,Year
Raju Chacha,Anil Devgan,"Ajay Devgn, Kajol, Johnny Lever, Rishi Kapoor, Sanjay Dutt, Tiku Talsania",2000
The Revenge: Geeta Mera Naam,Dilip Gulati,"Birbal, Dharmendra, Jack Gaud",2000
Saanjh,Sabrina Dhawan,"Nandita Das, Sharda Desoares, Arjun Raina, Rahul Vohra",2000
Second Generation,,,2000
Shikaar,Bobby Raj,"Abhishek Kapoor, Vikas Bhalla, Ayesha Jhulka, Anupam Kher",2000
Shikari,N. Chandra,"Govinda, Karisma Kapoor, Tabu",2000
Snip!,Sunil Sippy,"Sohrab Ardeshir, Nikhil Chinappa, Makrand Deshpande, Vekeana Dhillon",2000
Sultaan,,Vikas Anand,2000
Tapish,Jay Prakash,"Tara Deshpande, Ellora Patnaik, Parvin Dabas, Gajendra Chouhan",2000
Tarkieb,Esmayeel Shroff,"Milind Soman, Nana Patekar, Tabu, Shilpa Shetty",2000
Tera Jadoo Chal Gayaa,A. Muthu,"Abhishek Bachchan, Kirti Reddy, Sanjay Suri, Kader Khan",2000
Tune Mera Dil Le Liyaa,B.B. Bhalla,"Raveena Tandon, Naseeruddin Shah, Rahul Roy, Shakti Kapoor",2000
Zindagi Zindabad,Sumitra Bhave–Sunil Sukthankar,"Mita Vasisht, Milind Gunaji, Uttara Baokar, Abhiram Bhadkamkar",2000
Kabhi Khushi Kabhie Gham,Karan Johar,,2001
Gadar: Ek Prem Katha,Anil Sharma,,2001
Lagaan,Ashutosh Gowariker,,2001
Indian,N. Maharajan,,2001
Dil Chahta Hai,Farhan Akhtar,,2001
Chori Chori Chupke Chupke,Abbas–Mustan,,2001
Ek Rishtaa: The Bond of Love,Suneel Darshan,,2001
Yaadein,Subhash Ghai,,2001
Lajja,Rajkumar Santoshi,,2001
Jodi No.1,David Dhawan,,2001
Abhay,Suresh Krissna,"Kamal Haasan, Manisha Koirala, Raveena Tandon",2001
Aamdani Atthanni Kharcha Rupaiya,K. Raghavendra Rao,"Govinda, Juhi Chawla, Chandrachur Singh, Tabu, Isha Koppikar, Vinay Anand, Johnny Lever",2001
Aashiq,Indra Kumar,"Bobby Deol, Karisma Kapoor, Anupam Kher, Johnny Lever, Rahul Dev",2001
Ajnabee,Abbas Mustan,"Bobby Deol, Akshay Kumar, Kareena Kapoor, Bipasha Basu, Johnny Lever",2001
Aks,Rakeysh Omprakash Mehra,"Amitabh Bachchan, Raveena Tandon, Manoj Bajpai, Nandita Das",2001
Albela,Deepak Sareen,"Govinda, Aishwarya Rai, Namrata Shirodkar, Jackie Shroff",2001
Aśoka,Santosh Sivan,"Shah Rukh Khan, Ajith Kumar, Kareena Kapoor, Hrishita Bhatt",2001
Bas Itna Sa Khwaab Hai,Goldie Behl,"Abhishek Bachchan, Rani Mukerji, Sushmita Sen, Jackie Shroff",2001
Be-Lagaam,Ram Lakhan,"Aryan Vaid, Pramod Moutho, Tanveer Zaidi",2001
Bengal Tiger,Adarsh Jain,"Mithun Chakraborty, Shakti Kapoor",2001
Bhairav,T. L. V. Prasad,Mithun Chakraborty,2001
Censor,Dev Anand,,2001
Chandni Bar,Madhur Bhandarkar,"Suhas Palshikar, Tabu, Atul Kulkarni. Rajpal Yadav",2001
Chhupa Rustam: A Musical Thriller,Aziz Sejawal,"Sanjay Kapoor, Mamta Kulkarni, Manisha Koirala",2001
Daman,Kalpana Lajmi,"Raveena Tandon, Raima Sen, Sanjay Suri, Sayaji Shinde",2001
Dattak,Gul Bahar Singh,"Rajit Kapoor, Anjan Srivastav, A. K. Hangal, Kruttika Desai",2001
Deewaanapan,Ashu Trikha,"Arjun Rampal, Diya Mirza, Vikas Sethi, Om Puri, Kabir Sadanand",2001
Dil Ne Phir Yaad Kiya,C. L. Rawal,"Govinda, Tabu, Pooja Batra",2001
Ehsaas: The Feeling,Mahesh Manjrekar,"Sunil Shetty, Neha",2001
Farz,Raj Kanwar,"Sunny Deol, Preity Zinta, Om Puri, Jackie Shroff, Dara Singh",2001
Grahan,Shashilal K. Nair,"Jackie Shroff, Manisha Koirala, Anupama Verma",2001
Hadh: Life on the Edge of Death,Thampi Kannanthanam,"Jackie Shroff, Sharad Kapoor, Ayesha Jhulka",2001
Hum Ho Gaye Aapke,Agathiyan,"Fardeen Khan, Reema Sen, Apoorva Agnihotri",2001
Ittefaq,Sanjay Khanna,"Sunil Shetty, Pooja Batra",2001
Kasam,Shibu Mitra,"Sunny Deol, Chunky Pandey",2001
Kasoor,Vikram Bhatt,"Lisa Ray, Aftab Shivdasani, Divya Dutta",2001
Kuch Khatti Kuch Meethi,Rahul Rawail,"Sunil Shetty, Kajol, Rishi Kapoor, Rati Agnihotri",2001
Kyo Kii Main Jhuth Nahin Bolta,David Dhawan,"Govinda, Sushmita Sen, Anupam Kher, Ajith Vachani, Shahbaz Khan, Mohnish Bahl",2001
Lagaan: Once Upon a Time in India,Ashutosh Gowariker,"Aamir Khan, Gracy Singh, Rachel Shelley, Toby Stephens, Amin Gazi, Pradeep Rawat",2001
Love Ke Liye Kuchh Bhi Karega,E. Niwas,"Saif Ali Khan, Fardeen Khan, Aftab Shivdasani, Twinkle Khanna, Sonali Bendre",2001
Love You Hamesha,Kailash Surendranath,"Rishma Malik, Rohit Bal, Sonali Bendre",2001
Maya,Digivijay Singh,"Nitya Shetty, Mita Vasisht, Anant Nag",2001
Mitti,,,2001
Moksha,Ashok Mehta,"Manisha Koirala, Arjun Rampal",2001
Monsoon Wedding,Mira Nair,"Naseeruddin Shah, Lillete Dubey, Shefali Shah, Vasundhara Das, Vijay Raaz, Tillotama Shome, Randeep Hooda, Rajat Kapoor, Jas Arora",2001
Mujhe Kucch Kehna Hai,Satish Kaushik,"Tusshar Kapoor, Kareena Kapoor, Rinke Khanna",2001
Mujhe Meri Biwi Se Bachaao,Harry Baweja,"Naseeruddin Shah, Rekha, Arshad Warsi, Suman Ranganathan",2001
Nayak,S. Shankar,"Anil Kapoor, Rani Mukerji, Pooja Batra, Paresh Rawal, Amrish Puri, Johnny Lever",2001
Officer,Naeem Sha,"Sunil Shetty, Raveena Tandon, Danny Denzongpa, Tej Sapru",2001
One 2 Ka 4,Shashilal K. Nair,"Shah Rukh Khan, Juhi Chawla, Madhur Mittal, Jackie Shroff, Nirmal Pandey, Dilip Joshi",2001
Paagalpan,Aruna Irani,"Karan Nath, Aarti Agarwal, Farhan Khan",2001
Pyaar Ishq Aur Mohabbat,Rajiv Rai,"Suniel Shetty, Arjun Rampal, Aftab Shivdasani, Isha Koppikar, Kirti Reddy",2001
Pyaar Tune Kya Kiya,Rajat Mukherjee,"Urmila Matondkar, Fardeen Khan, Sonali Kulkarni",2001
Pyaar Zindagi Hai,Vijay Sadanah,"Vikas Kalantri, Ashima Bhalla, Mohnish Bahl, Asawari Joshi, Upasna Singh, Rajesh Khanna",2001
Rahul,Prakash Jha,"Neha, Jatin Grewal, Rajeshwari Sachdev",2001
Rehnaa Hai Terre Dil Mein,Gautham Vasudev Menon,"Saif Ali Khan, Dia Mirza, R. Madhavan, Navin Nischol, Anupam Kher",2001
Shirdi Sai Baba,,,2001
Style,N. Chandra,"Sahil Khan, Sharman Joshi, Riya Sen, Tara Deshpande",2001
Tamboo Mein Bamoo,Dil Kumar,Raza Murad,2001
Tera Mera Saath Rahen,Mahesh Manjrekar,"Ajay Devgn, Sonali Bendre, Namrata Shirodkar",2001
Tere Liye,Sanjay Gadhvi,"Imran Ahmed Khan, Sonali Khare, Neelu Kohli, Hiten Paintal",2001
Tum Bin,Anubhav Sinha,"Priyanshu Chatterjee, Himanshu Malik, Sandali Sinha, Rakesh Bapat, Manoj Pahwa",2001
Yeh Raaste Hain Pyaar Ke,Deepak S. Shivdasani,"Ajay Devgan, Madhuri Dixit, Preity Zinta, Sunny Deol (special appearance)",2001
Yeh Teraa Ghar Yeh Meraa Ghar,Priyadarshan,"Suniel Shetty, Mahima Chaudhry, Neeraj Vora, Paresh Rawal",2001
Yeh Zindagi Ka Safar,Tanuja Chandra,"Amisha Patel, Jimmy Shergill, Rajpal Yadav",2001
Zubeidaa,Shyam Benegal,"Karisma Kapoor, Rekha, Manoj Bajpai, Amrish Puri, Lilette Dubey",2001
Devdas,Sanjay Leela Bhansali,,2002
Raaz,Vikram Bhatt,,2002
Kaante,Sanjay Gupta,,2002
Hum Tumhare Hain Sanam,K. S. Adhiyaman,,2002
Aankhen,Vipul Amrutlal Shah,,2002
Mujhse Dosti Karoge!,Kunal Kohli,,2002
Humraaz,Abbas Mustan,,2002
Saathiya,Shaad Ali,,2002
