Movies,Director,Actors,Year
Jhoom Barabar Jhoom,Shaad Ali,"Abhishek Bachchan, Preity Zinta, Bobby Deol, Lara Dutta, Amitabh Bachchan, Piyush Mishra",2007
Chain Kulii Ki Main Kulii,Karanjeet Saluja,"Zain Khan, Rahul Bose, Meera Vasudevan, Nassar Abdullah",2007
Aap Kaa Surroor,Prashant Chadha,"Himesh Reshammiya, Hansika Motwani, Mallika Sherawat, Darshan Jariwala, Raj Babbar",2007
Apne,Anil Sharma,"Dharmendra, Sunny Deol, Bobby Deol, Shilpa Shetty, Katrina Kaif, Divya Dutta, Kirron Kher, Kurush Deboo, Aryan Vaid, Victor Banerjee",2007
Awarapan,Mohit Suri,"Emraan Hashmi, Shriya Saran, Salil Acharya, Mrinalini Sharma, Ashish Vidyarthi, Ashutosh Rana, Purab Kohli, Rehan Khan",2007
Journey Bombay to Goa,Raj Pendurkar,"Sunil Pal, Raju Shrivastav, Asrani, Vijay Raaz, Tinu Anand, Ehsaan Qureshi, Aasif Sheikh",2007
My Friend Ganesha,Rajiv S Ruia,"Ahsaas Channa, Kiran Janjani, Shital Shah, Upasana Singh",2007
Jahan Jaaeyega Hamen Paaeyega,Janmendra Ahuja,"Govinda, Sakshi Sivanand, Krishna Abhishek, Vinay Anand, Sharat Saxena, Mukesh Rishi, Kader Khan, Raju Srivastav",2007
Naqaab,Abbas Mustan,"Bobby Deol, Akshaye Khanna, Urvashi Sharma, Vishal Malhotra, Vikas Kalantri",2007
Cash,Anubhav Sinha,"Ajay Devgn, Sunil Shetty, Zayed Khan, Riteish Deshmukh, Esha Deol, Shamita Shetty, Dia Mirza, Ayesha Takia",2007
"Gandhi, My Father",Feroz Abbas Khan,"Akshaye Khanna, Shefali Shah, Bhumika Chawla, Darshan Jariwala",2007
Kaafila,Ammtoje Mann,"Sunny Deol, Sara Loren, Chandan Anand, Sudesh Berry, Sana Nawaz",2007
Buddha Mar Gaya,Rahul Rawail,"Ranvir Shorey, Rakhi Sawant, Anupam Kher, Om Puri, Paresh Rawal",2007
Marigold,Willard Carroll,"Salman Khan, Ali Larter",2007
Aag,Ram Gopal Varma,"Amitabh Bachchan, Urmila Matondkar, Ajay Devgn, Sushmita Sen, Nisha Kothari, Mohanlal, Prashant Raj Sachdev, Rajpal Yadav",2007
Dhokha,Pooja Bhatt,"Muzammil Ibrahim, Tulip Joshi, Ashutosh Rana, Anupam Kher, Gulshan Grover, Aushima Sawhney",2007
Victoria No. 203,Anant Mahadevan,"Om Puri, Anupam Kher, Jimmy Sheirgill, Preeti Jhangiani, Kamal Sadanah, Javed Jaffrey, Johnny Lever",2007
Apna Asmaan,Kaushik Roy,"Irrfan Khan, Shobana, Nassar Abdullah, Anupam Kher, Rajat Kapoor",2007
Darling,Ram Gopal Verma,"Fardeen Khan, Isha Koppikar, Zakir Hussain, Esha Deol, Nisha Kothari",2007
Dhamaal,Indra Kumar,"Javed Jaffrey, Sanjay Dutt, Riteish Deshmukh, Arshad Warsi, Aashish Chaudhary, Manoj Pahwa, Murali Sharma, Asrani, Vijay Raaz, Kurush Deboo",2007
Aggar,Anant Mahadevan,"Shreyas Talpade, Tushar Kapoor, Udita Goswami, Vikas Kalantri, Suresh Menon",2007
Nanhe Jaisalmer,Samir Karnik,"Bobby Deol, Dwij Yadav, Katrina Kaif, Sharat Saxena",2007
Dhol,Priyadarshan,"Sharman Joshi, Tusshar Kapoor, Kunal Khemu, Rajpal Yadav, Tanushree Dutta, Murli Sharma, Om Puri, Arbaaz Khan",2007
Manorama Six Feet Under,Navdeep Singh,"Abhay Deol, Nawazuddin Siddiqui, Raima Sen, Gul Panag, Vinay Pathak",2007
Dil Dosti Etc,Manish Tiwary,"Shreyas Talpade, Nikita Anand, Imaad Shah, Smriti Mishra, Ishita Sharma",2007
Johnny Gaddaar,Sriram Raghavan,"Neil Nitin Mukesh, Dharmendra, Vinay Pathak, Zakir Hussain, Rimi Sen, Dayanand Shetty",2007
Chhodon Naa Yaar,Dillip Sood,"Jimmy Sheirgill, Kim Sharma, Kabir Sadanand",2007
Go,Manish Shrivastava,"Gautam Gupta, Nisha Kothari, Ravi Bhatia, Kay Kay Menon, Rajpal Yadav",2007
50 Lakh,Chandra Sekhar Yeleti,"Pawan Malhotra, Mohit Chadda, Shashank, Abhishek, Janardhan, and Sindhu Tolani",2007
Laaga Chunari Mein Daag,Pradeep Sarkar,"Jaya Bachchan, Rani Mukerji, Abhishek Bachchan, Konkona Sen Sharma, Kunal Kapoor, Anupam Kher",2007
Speed,Vikram Bhatt,"Sanjay Suri, Zayed Khan, Urmila Matondkar, Sophie Choudry, Aftab Shivdasani, Tanushree Dutta, Amrita Arora, Aashish Chaudhary",2007
Bal Ganesh,Pankaj Sharma,"Ashar Shaikh, Adarsh Gautam, Namrata Sawhney",2007
Jab We Met,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor, Tarun Arora, Saumya Tandon, Pawan Malhotra, Dara Singh",2007
Mumbai Salsa,Manoj Tyagi,"Vir Das, Linda Arsenio, Manjari Phadnis, Dilip Thadeshwar",2007
No Smoking,Anurag Kashyap,"John Abraham, Ayesha Takia, Paresh Rawal, Ranvir Shorey, Bipasha Basu",2007
Saawariya,Sanjay Leela Bhansali,"Ranbir Kapoor, Sonam Kapoor, Rani Mukerji, Salman Khan",2007
Goal,Vivek Agnihotri,"John Abraham, Bipasha Basu, Kushal Punjabi, Arshad Warsi, Boman Irani",2007
Aaja Nachle,Anil Mehta,"Madhuri Dixit, Akshaye Khanna, Vinay Pathak, Kunal Kapoor, Konkona Sen Sharma, Ranvir Shorey, Irrfan Khan, Jugal Hansraj",2007
Gauri: The Unborn,Akku Akbar,"Rituparna Sengupta, Atul Kulkarni",2007
Dus Kahaniyaan,"Sanjay Gupta, Apoorva Lakhia, Meghna Gulzar, Rohit Roy, Hansal Mehta, Jasmeet Dhodhi","Sanjay Dutt, Sunil Shetty, Arbaaz Khan, Nana Patekar, Dino Morea, Manoj Bajpai, Aftab Shivdasani, Diya Mirza, Amrita Singh, Neha Dhupia, Minissha Lamba, Tarina Patel, Naseeruddin Shah, Shabana Azmi, Anupam Kher, Natassha",2007
Khoya Khoya Chand,Sudhir Mishra,"Shiney Ahuja, Soha Ali Khan, Sushmita Mukherjee, Vinay Pathak, Rajat Kapoor, Sonya Jehan",2007
Strangers,Aanand L. Rai,"Jimmy Sheirgill, Kay Kay Menon, Nandana Sen, Sonali Kulkarni",2007
Return of Hanuman,Anurag Kashyap,"Pinky Rajput, Malak Shah, Suraj, Uday Sabnis, Dhananjai Shrestha, Ayesha Raza, Chetanya Adib, Rajeev Raj, Sudesh Bhosale, Rajendra Gupta",2007
Showbiz,Raju Khan,"Tushar Jalota, Mrinalini Sharma, Gulshan Grover, Delnaaz Irani, Sushant Singh",2007
Ghajini,,,2008
Rab Ne Bana Di Jodi,,,2008
Singh Is Kinng,,,2008
Jodhaa Akbar,,,2008
Race,,,2008
Golmaal Returns,,,2008
Dostana,,,2008
Bachna Ae Haseeno,,,2008
Bhoothnath,,,2008
Sarkar Raj,,,2008
Humne Jeena Seekh Liya,Milind Ukey,"Siddharth Chandekar, Mrunmayi Deshpande",2008
Halla Bol,Rajkumar Santoshi,"Ajay Devgn, Vidya Balan, Tushar Kapoor, Kareena Kapoor, Pankaj Kapur, Sana Khan, Jackie Shroff, Aarti Chabria",2008
My Name Is Anthony Gonsalves,Eeshwar Nivas,"Nikhil Dwivedi, Amrita Rao, Vishal O Sharma, Mithun Chakraborty, Lillete Dubey, Jawed Sheikh",2008
Bombay to Bangkok,Nagesh Kukunoor,"Shreyas Talpade, Lena Christensen, Naseeruddin Shah",2008
Tulsi,K. Ajay Kumar,"Irrfan Khan, Manisha Koirala, Arzoo Govitrikar",2008
Sunday,Rohit Shetty,"Ajay Devgn, Ayesha Takia, Arshad Warsi, Irrfan Khan, Tusshar Kapoor, Esha Deol, Murli Sharma, Anjana Sukhani",2008
Rama Rama Kya Hai Dramaa?,S. Chandrakaant,"Rajpal Yadav, Neha Dhupia, Ashish Chaudhary, Amrita Arora, Anupam Kher, Rati Agnihotri, Alan Kapoor",2008
Superstar,Rohit Jugraj,"Kunal Khemu, Tulip Joshi, Aman Verma, Aushima Sawhney, Reema Lagoo, Sharat Saxena",2008
Black & White,Subhash Ghai,"Anil Kapoor, Anurag Sinha, Shefali Shah, Aditi Sharma, Anurag Singh",2008
One Two Three,Ashwni Dhir,"Tusshar Kapoor, Paresh Rawal, Suniel Shetty, Esha Deol, Sameera Reddy, Upen Patel, Neetu Chandra, Tanishaa Mukerji, Murli Sharma, Ashwin Mushran",2008
Shaurya,Samar Khan,"Kay Kay Menon, Rahul Bose, Minissha Lamba, Shah Rukh Khan, Amrita Rao, Javed Jaffrey",2008
Bhram,Pavan Kaul,"Dino Morea, Deepshikha Nagpal, Milind Soman, Sheetal Menon, Karan Singh Grover, Chetan Hansraj",2008
Krazzy 4,Jaideep Sen,"Juhi Chawla, Arshad Warsi, Irrfan Khan, Suresh Menon, Rajpal Yadav, Dia Mirza, Mukesh Rishi, Rajat Kapoor",2008
U Me Aur Hum,Ajay Devgn,"Ajay Devgn, Kajol, Aditya Singh Rajput, Karan Khanna, Isha Sharvani, Hazel Crowney, Sumeet Raghavan, Divya Dutta",2008
Pehli Nazar Ka Pyaar,Arshad Khan,"Arbaaz Ali Khan, Vikas Anand, Rahul, Dinesh Hingoo, Tej Sapru",2008
Sirf,Rajaatesh Nayar,"Kay Kay Menon, Manisha Koirala, Ranvir Shorey, Parvin Dabas, Sonali Kulkarni",2008
Tashan,Vijay Krishna Acharya,"Akshay Kumar, Saif Ali Khan, Kareena Kapoor, Anil Kapoor, Manoj Pahwa, Rajesh Jais",2008
Mr. Black Mr. White,Deepak Shivdasani,"Sunil Shetty, Sandhya Mridul, Arshad Warsi, Sharat Saxena, Tania Zaetta, Rashmi Nigam",2008
Anamika,Anant Mahadevan,"Dino Morea, Minissha Lamba, Koena Mitra, Aarti Chabria, Gulshan Grover",2008
Jimmy,Raj N. Sippy,"Mimoh Chakraborty, Rati Agnihotri, Vikas Anand",2008
Jannat,Kunal Deshmukh,"Emraan Hashmi, Vishal Malhotra, Sonal Chauhan, Sameer Kochhar, Javed Shaikh",2008
Dhoom Dadakka,Shashi Ranjan,"Anupam Kher, Gulshan Grover, Satish Kaushik, Satish Shah",2008
Don Muthu Swami,Ashim Samanta,"Hrishita Bhatt, Mithun Chakraborty, Shakti Kapoor, Rohit Roy",2008
Ghatothkach,Singeetam Srinivasa Rao,,2008
Woodstock Villa,Hansal Mehta,"Sikandar Kher, Neha Oberoi, Gaurav Gera, Arbaaz Khan, Sanjay Dutt, Shakti Kapoor, Gulshan Grover, Sachin Khedekar, Boman Irani, Anupama Verma",2008
Aamir,Rajkumar Gupta,"Rajeev Khandelwal, Gajraj Rao, Rohitash Gaud, Sudipto Balav, Vikas Bahl, Uday Sabnis",2008
Mere Baap Pehle Aap,Priyadarshan,"Akshaye Khanna, Paresh Rawal, Genelia D'Souza, Arzoo Govitrikar, Om Puri, Rajpal Yadav",2008
Summer 2007,Suhail Tatari,"Sikandar Kher, Gul Panag, Neetu Chandra, Susan Brar, Uvika Choudhary",2008
De Taali,Eeshwar Nivas,"Riteish Deshmukh, Aftab Shivdasani, Ayesha Takia, Rimi Sen, Mukul Dev, Neha Dhupia, Anupam Kher, Anjana Sukhani",2008
Haal-e-Dil,Anil Devgan,"Ajay Devgn, Kajol, Naseer Abdullah, Amita Pathak, Mukesh Tiwari, Nakuul Mehta, Adhyayan Suman",2008
Thoda Pyaar Thoda Magic,Kunal Kohli,"Saif Ali Khan, Rani Mukerji, Sharat Saxena, Ameesha Patel, Rishi Kapoor",2008
Thodi Life Thoda Magic,Vinayak Rajesh,"Jackie Shroff, Anita Raj, Parmeet Sethi, Paresh Rawal, Arbaaz Khan",2008
Via Darjeeling,Arindam Nandy,"Kay Kay Menon, Sonali Kulkarni, Vinay Pathak, Sandhya Mridul, Rajat Kapoor",2008
Jaane Tu... Ya Jaane Na,Abbas Tyrewala,"Imran Khan, Genelia D'Souza, Prateik Babbar, Murali Sharma, Ratna Pathak, Shakun Batra, Ayaz Khan, Naseeruddin Shah, Paresh Rawal, Manjari Fadnis, Arbaaz Khan, Rajat Kapoor, Sugandha Garg, Sohail Khan",2008
Love Story 2050,Harry Baweja,"Dalip Tahil, Priyanka Chopra, Harman Baweja, Boman Irani",2008
Mehbooba,Afzal Khan,"Ajay Devgn, Manisha Koirala, Sanjay Dutt, Asrani, Kader Khan, Annu Kapoor",2008
Kismat Konnection,Aziz Mirza,"Shahid Kapoor, Vidya Balan, Shah Rukh Khan, Om Puri, Juhi Chawla, Amit Varma, Boman Irani, Karanvir Bohra, Hyder Ali, Vishal Malhotra, Himani Shivpuri",2008
Contract,Ram Gopal Varma,"Adhvik Mahajan, Sakshi Gulati, Kishor Kadam, Sumeet Nijhawan",2008
Mission Istaanbul,Apoorva Lakhia,"Vivek Oberoi, Shweta Bhardwaj, Abhishek Bachchan, Shriya Saran, Suniel Shetty, Zayed Khan, Nikitin Dheer, Shabbir Ahluwalia",2008
Money Hai Toh Honey Hai,Ganesh Acharya,"Govinda, Aftab Shivdasani, Upen Patel, Manoj Bajpayee, Hansika Motwani, Celina Jaitly, Kim Sharma, Priyanka Sharma",2008
Ugly Aur Pagli,Sachin Khot,"Ranvir Shorey, Mallika Sherawat, Vishal Malhotra, Payal Rohatgi, Tinnu Anand, Gaurav Kapur, Sapna Bhavnani, Zeenat Aman",2008
Good Luck!,Aditya Datt,"Aryeman, Sayali Bhagat, Ranvir Shorey, Lucky Ali, Archana Puran Singh, Mushtaq Khan, Nazneen Patel",2008
God Tussi Great Ho,Rumi Jaffery,"Sohail Khan, Salman Khan, Priyanka Chopra, Amitabh Bachchan, Dalip Tahil, Anupam Kher",2008
Phoonk,Ram Gopal Varma,"Amruta Khanvilkar, Ahsaas Channa, Kenny Desai, Ashwini Kalsekar",2008
Mumbai Meri Jaan,Nishikanth Kamat,"Kay Kay Menon, Soha Ali Khan, Nishikant Kamat, Paresh Rawal, R. Madhavan",2008
Maan Gaye Mughal-e-Azam,Sanjay Chhel,"Rahul Bose, Mallika Sherawat, Kay Kay Menon, Paresh Rawal",2008
Rock On!!,Abhishek Kapoor,"Arjun Rampal, Farhan Akhtar, Prachi Desai, Luke Kenny, Purab Kohli, Koel Purie, Shahana Goswami, Nicolette Bird",2008
C Kkompany,Sachin Yardi,"Tusshar Kapoor, Raima Sen, Karan Johar, Rajpal Yadav, Anupam Kher, Sanjay Dutt",2008
Chamku,Kabeer Kaushik,"Priyanka Chopra, Bobby Deol, Danny Denzongpa, Deepal Shaw, Irrfan Khan, Riteish Deshmukh, Rajpal Yadav",2008
Mukhbiir,Mani Shankar,"Jackie Shroff, Om Puri, Sunil Shetty, Rahul Dev, Sameer Dattani, Raima Sen, Sushant Singh",2008
A Wednesday!,Neeraj Pandey,"Naseeruddin Shah, Anupam Kher, Jimmy Sheirgill, Deepal Shaw",2008
Tahaan,Santosh Sivan,"Rahul Bose, Fatima Sana Shaikh, Rahul Khanna, Sarika, Anupam Kher",2008
Hijack,Kunal Shivdasani,"Shiney Ahuja, Esha Deol, KK Raina, Ishita Chauhan",2008
1920,Vikram Bhatt,"Rajneesh Duggal, Adah Sharma, Vipin Sharma, Indraneil Sengupta",2008
The Last Lear,Rituparno Ghosh,"Amitabh Bachchan, Preity Zinta, Arjun Rampal, Divya Dutta, Shefali Shah, Jisshu Sengupta",2008
Welcome to Sajjanpur,Shyam Benegal,"Shreyas Talpade, Amrita Rao, Kunal Kapoor, Ravi Kishan, Yashpal Sharma",2008
Saas Bahu Aur Sensex,Shona Urvashi,"Tanushree Dutta, Ankur Khanna, Kiron Kher, Farooq Sheikh",2008
Hari Puttar: A Comedy of Terrors,Lucky Kohli & Rajesh Bajaj,"Sarika, Zain Khan, Sweeny Khara, Aditya Kapadia, Saurabh Shukla, Vijay Raaz, Jackie Shroff, Lillete Dubey, Shamita Shetty",2008
Kidnap,Sanjay Gadhvi,"Sanjay Dutt, Minissha Lamba, Imran Khan, Vidya Malvade, Rahul Dev, Reema Lagoo, Ankita Makwana, Sophie Choudry, Raj Zutshi, Sonia Kapoor",2008
Drona,Goldie Behl,"Abhishek Bachchan, Priyanka Chopra, Kay Kay Menon, Ali Haji, Shahid Kapoor, Jaya Bachchan",2008
Hello,Atul Agnihotri,"Sharat Saxena, Arbaaz Khan, Katrina Kaif, Sohail Khan, Sharman Joshi, Amrita Arora, Gul Panag, Isha Koppikar, Salman Khan",2008
Karzzzz,Satish Kaushik,"Himesh Reshammiya, Benjamin Schoefer, Urmila Matondkar, Dino Morea, Gulshan Grover",2008
Heroes,Samir Karnik,"Salman Khan, Preity Zinta, Mithun Chakraborty, Bobby Deol, Sunny Deol, Sohail Khan, Vatsal Sheth, Amrita Arora, Dino Morea, Riya Sen",2008
Roadside Romeo,Jugal Hansraj,"Saif Ali Khan, Kareena Kapoor, Javed Jaffrey, Suresh Menon, Kiku Sharda",2008
Fashion,Madhur Bhandarkar,"Ranvir Shorey, Priyanka Chopra, Karan Johar, Kangana Ranaut, Arbaaz Khan, Mugdha Godse, Arjan Bajwa, Ashwin Mushran, Samir Soni, Konkona Sen Sharma, Rohit Roy, Raj Babbar, Harsh Chhaya, Kiran Juneja, Humayun Saeed, Zac Efron",2008
EMI - Liya Hai Toh Chukana Parega,Saurabh Kabra,"Sanjay Dutt, Arjun Rampal, Urmila Matondkar, Malaika Arora, Ashish Chaudhary, Neha Oberoi, Manoj Joshi",2008
Ek Vivaah... Aisa Bhi,Kaushik Ghatak,"Isha Koppikar, Sonu Sood, Vishal Malhotra, Alok Nath",2008
Dasvidaniya,Shashant Shah,"Vinay Pathak, Neha Dhupia, Rajat Kapoor, Ranvir Shorey",2008
Deshdrohi,Jagdish A. Sharma,"Kamaal Rashid Khan, Krishna Abhishek, Hrishitaa Bhatt, Gracy Singh, Zulfi Syed",2008
Yuvvraaj,Subhash Ghai,"Anil Kapoor, Amy Maghera, Salman Khan, Zayed Khan, Katrina Kaif, Boman Irani, Javed Sheikh, Mithun Chakraborty",2008
Gumnaam – The Mystery,Neeraj Pathak,"Mahima Chaudhry, Dino Morea, Suman Ranganathan, Irrfan Khan",2008
Oye Lucky! Lucky Oye!,Dibakar Banerjee,"Abhay Deol, Neetu Chandra, Paresh Rawal, Manu Rishi, Richa Chadda, Archana Puran Singh",2008
Sorry Bhai!,Onir,"Shabana Azmi, Boman Irani, Sanjay Suri, Sharman Joshi, Chitrangada Singh",2008
Maharathi,Shivam Nair,"Paresh Rawal, Naseeruddin Shah, Neha Dhupia, Om Puri, Boman Irani, Tara Sharma",2008
Dil Kabaddi,Anil Sharma (Senior),"Irrfan Khan, Rahul Bose, Rahul Khanna, Konkona Sen Sharma, Soha Ali Khan, Payal Rohatgi",2008
Meerabai Not Out,Chandrakant Kulkarni,"Mahesh Manjrekar, Mandira Bedi, Eijaz Khan, Anupam Kher",2008
"Oh, My God",Saurabh Shrivastava,"Vinay Pathak, Saurabh Shukla, Divya Dutta, Gaurav Gera, Harsh Chhaya",2008
Wafaa,Rakesh Sawant,"Rajesh Khanna, Laila Khan, Shahib Chopra, Diya Hayat, Tinnu Anand, Sudesh Berry",2008
Jumbo,Kompin Kemgumnird,"Akshay Kumar, Lara Dutta, Amar Babaria, Dimple Kapadia, Rajpal Yadav, Gulshan Grover",2008
3 Idiots,,,2009
Love Aaj Kal,,,2009
Ajab Prem Ki Ghazab Kahani,,,2009
Wanted,,,2009
Kambakkht Ishq,,,2009
De Dana Dan,,,2009
New York,,,2009
Kaminey,,,2009
Blue,,,2009
All the Best: Fun Begins,,,2009
Mumbai Chakachak,Sanjay Jha,"Rahul Bose, Ayesha Dharker, Mandira Bedi",2009
Horn 'Ok' Pleassss,Rakesh Sarang,"Nana Patekar, Rimi Sen, Muzamil Ibrahim",2009
Chandni Chowk to China,Nikkhil Advani,"Akshay Kumar, Deepika Padukone, KevJumba, Mithun Chakraborty, Ranvir Shorey",2009
Aasma: The Sky Is the Limit,Rohit Nayyar,"Hrishitaa Bhatt, Seema Biswas, Nauheed Cyrusi, Mansi Dovhal, Ravi Gossain",2009
Raaz: The Mystery Continues,Mohit Suri,"Emraan Hashmi, Kangana Ranaut, Adhyayan Suman, Jackie Shroff",2009
Luck by Chance,Zoya Akhtar,"Farhan Akhtar, Konkona Sen Sharma, Aamir Khan, Hrithik Roshan, Juhi Chawla, Rishi Kapoor, Sanjay Kapoor, Dimple Kapadia, Isha Sharvani, Shah Rukh Khan",2009
Victory,Ajit Pal Mangat,"Harman Baweja, Amrita Rao, Anupam Kher, Gulshan Grover",2009
Dev.D,Anurag Kashyap,"Abhay Deol, Mahi Gill, Kalki Koechlin",2009
Chal Chala Chal,T. K. Rajeev Kumar,"Govinda, Rajpal Yadav, Reemma Sen, Om Puri",2009
Mere Khwabon Mein Jo Aaye,Madhureeta Anand,"Randeep Hooda, Raima Sen, Arbaaz Khan, Neil Bhoopalam, Murli Sharma",2009
Billu,Priyadarshan,"Irrfan Khan, Shah Rukh Khan, Lara Dutta, Om Puri, Rajpal Yadav, Asrani",2009
The Stoneman Murders,Manish Gupta,"Kay Kay Menon, Arbaaz Khan, Vikram Gokhale, Rukhsar Rehman",2009
Delhi-6,Rakeysh Omprakash Mehra,"Abhishek Bachchan, Sonam Kapoor, Amitabh Bachchan, Waheeda Rehman, Divya Dutta, Rishi Kapoor, Om Puri, Atul Kulkarni, Prem Chopra",2009
Kisse Pyaar Karoon,Ajay Chandock,"Arshad Warsi, Aashish Chaudhary, Aarti Chhabria, Yash Tonk, Udita Goswami",2009
13B,Vikram K. Kumar,"R. Madhavan, Neetu Chandra, Saranya, Poonam Dhillon, Ravibabu, Sachin Khedekar, Deepak Dobriyal, Murli Sharma",2009
Dhoondte Reh Jaaoge,Umesh Shukla,"Kunal Khemu, Paresh Rawal, Soha Ali Khan, Sonu Sood, Asrani, Johnny Lever, Hrishita Bhatt, Deepal Shaw",2009
Karma Aur Holi,Manish Gupta,"Sushmita Sen, Randeep Hooda, Naomi Campbell, Suresh Oberoi, Suchitra Krishnamoorthi, Deepal Shaw",2009
Jai Veeru,Puneet Sira,"Fardeen Khan, Kunal Khemu, Dia Mirza, Anjana Sukhani, Rajesh Khattar, Arbaaz Khan",2009
Little Zizou,Sooni Taraporevala,"Boman Irani, John Abraham, Kurush Deboo",2009
Gulaal,Anurag Kashyap,"Kay Kay Menon, Deepak Dobriyal, Piyush Mishra, Mahi Gill, Jesse Randhawa, Aditya Shrivastava",2009
Aloo Chaat,Robby Grewal,"Aftab Shivdasani, Aamna Sharif, Linda Arsenio, Kulbhushan Kharbanda, Manoj Pahwa, Sanjay Mishra",2009
Barah Aana,Raja Menon,"Naseeruddin Shah, Tannishtha Chatterjee, Arjun Mathur, Vijay Raaz",2009
Firaaq,Nandita Das,"Deepti Naval, Naseeruddin Shah, Paresh Rawal, Raghubir Yadav, Sanjay Suri",2009
Lottery,Hemant Prabhu,"Abhijeet Sawant, Sanjay Narvekar, Mukesh Tiwari, Rucha Gujarati, Manisha Kelkar",2009
Straight,Parvati Balagopalan,"Daman Baggan, Anuj Chaudhary, Ketki Dave, Siddharth Makkar, Gul Panag, Vinay Pathak",2009
Aa Dekhen Zara,Jehangir Surti,"Neil Mukesh, Bipasha Basu, Rahul Dev, Sophie Choudry",2009
Ek: The Power of One,Sangeeth Sivan,"Bobby Deol, Shriya Saran, Nana Patekar, Chunky Pandey, Pradeep, Kulbhushan Kharbanda, Jackie Shroff",2009
8 x 10 Tasveer,Nagesh Kukunoor,"Akshay Kumar, Ayesha Takia, Rushad Rana, Sharmila Tagore, Javed Jaffrey",2009
Ek Se Bure Do,Tarique,"Arshad Warsi, Anita Hassanandani, Rajpal Yadav, Govind Namdeo, Yashpal Sharma, Virendra Saxena, Vijay Raaz, Razzak Khan",2009
Pal Pal Dil Ke Ssaat,V Krishna Kumar,"Ajay Jadeja, Mahie Gill, Satish Shah, Sushma Seth, Vinod Kambli, Sylvie",2009
Coffee House,Gurbir Grewal,"Ashutosh Rana, Sakshi Tanwar, Harsh Chhaya",2009
School Days,Dilip Sood,"Pankaj Sharma, Rajiv Sethi, Virender Sharma, Shailly Sehgal",2009
Royal Utsav,Ravi K. Patwa,"Vikram Kumar, Monalisa, Sudesh Berry, Master Abhishek Sharma, Tripta Chopra, Antra Vishwas, Charu Arora",2009
Chowrasta Crossroads of Love,Anjan Dutt,"Victor Banerjee, Atul Kulkarni, Roopa Ganguly, Naved Aslam, Aparajita",2009
Meri Padosan,Prakash Saini,"Sarwar Ahuja, Saadhika Randhawa, Hina Tasleem, Sneha Dhabi, Sanjay Mishra, Ashok Bagla, Khayali",2009
Sikandar,Piyush Jha,"Parzan Dastur, Ayesha Kapur, Rahul Singh, R. Madhavan, Sanjay Suri",2009
99,Raj and D.K.,"Kunal Khemu, Boman Irani, Soha Ali Khan, Cyrus Broacha, Mahesh Manjrekar, Vinod Khanna, Sudesh Berry, Simone Singh",2009
Suno Na.. Ek Nanhi Aawaz,Amy Thanawala,"Tara Sharma, Avinash Tiwary, Rajendra Chawla, Dharmendra Gohil, Rinku Patel",2009
Detective Naani,Romilla Mukherjee,"Ava Mukherjee, Zain Khan, Shweta Gulati, Amit Verma",2009
Yeh Pal Ho Na Ho kal,Ravi Pun,"Prakash Sagar, Rishabh, Tina Rana, Simran",2009
Sanam Teri Kasam,Lawrence D'Souza,"Saif Ali Khan, Pooja Bhatt, Atul Agnihotri",2009
Team - The Force,Ajay Chandhok,"Sohail Khan, Amrita Arora, Yash Tonk",2009
Kal Kissne Dekha,Vivek Sharma,"Jackky Bhagnani, Vaishali Desai, Rishi Kapoor, Juhi Chawla, Riteish Deshmukh, Sanjay Dutt, Dalip Tahil",2009
Zor Lagaa Ke...Haiya!,Girish Girija Joshi,"Mithun Chakraborty, Mahesh Manjrekar, Sachin Khedekar, Raj Zutshi, Ashwin Chitale, Gulshan Grover",2009
Let's Dance,Aarif Sheikh,"Ajay Chaudhary, Gayatri Patel, Sugandha Garg, Paras Arora",2009
Paying Guests,Paritossh Painter,"Shreyas Talpade, Sayali Bhagat, Javed Jaffrey, Aashish Chaudhary, Chunky Pandey, Vatsal Sheth, Johnny Lever, Celina Jaitly, Riya Sen, Neha Dhupia",2009
Sankat City,Pankaj Advani,"Kurush Deboo, Manoj Pahwa, Kay Kay Menon, Anupam Kher, Rimi Sen, Chunky Pandey, Mia Uyeda, Rahul Dev",2009
Shortkut,Neeraj Vora,"Akshaye Khanna, Arshad Warsi, Amrita Rao, Sanjay Dutt, Anil Kapoor, Siddharth Randeria",2009
Jashnn,Raksha Mistry & Hasnain S Hyderabadwala,"Adhyayan Suman, Anjana Sukhani, Sumeet Vyas, Shahana Goswami, Humayun Saeed",2009
Luck,Soham Shah,"Sanjay Dutt, Shruti Haasan, Imran Khan, Mithun Chakraborty, Danny Denzongpa, Ravi Kishan, Rati Agnihotri",2009
Agyaat,Ram Gopal Varma,"Gautam Rode, Nitin Kumar Reddy, Priyanka Kothari",2009
Chal Chalein,Ujjwal Singh,"Mithun Chakraborty, Rati Agnihotri, Shilpa Shukla, Mukesh Khanna",2009
Teree Sang,Satish Kaushik,"Ruslaan Mumtaz, Sheena Shahabadi, Neena Gupta",2009
Life Partner,Rumi Jaffrey,"Govinda, Fardeen Khan, Tusshar Kapoor, Genelia D'Souza, Prachi Desai, Amrita Rao, Anupam Kher",2009
"Three: Love, Lies, Betrayal",Vishal Pandya,"Aashish Chaudhary, Akshay Kapoor Nausheen Ali Sardar",2009
